sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
33,3.552851,0.000000,7.516259,2.790189,4.728134,16.175652,7.838080,3.748489,12.189633,0.618912,0.641565,6.861465,4.815111,4.141537,48.842278,9.026057,23.019327,2.103592,9.321814,12.634918,6.139172,7.271302,1.947907,1.646130,10.957691,1.497960,1.288801,5.652369,1.791746,6.131730,3.755726,3.319764,8.722057,20.799269,0.606623,0.404953,0.621438,6.731453,3.426825,12.944895,10.903999,0.433418,0.232749,0.168729,12.660350,5.653955
34,3.457161,0.000000,7.352213,2.870019,4.684396,16.259247,7.593648,3.645880,12.469052,0.616359,0.721286,6.943466,4.766316,4.095994,48.216709,8.895594,22.769907,2.196190,9.645164,12.830736,6.141245,7.371140,1.911864,1.601579,11.742804,1.495045,1.288324,5.751904,1.798431,6.195110,3.859651,2.917264,10.248632,20.557236,0.736079,0.563723,0.715777,8.695921,3.414199,13.534075,10.883462,0.322107,0.138939,0.101117,13.067227,5.643372
35,3.647859,0.000000,7.330560,2.796633,4.789141,16.309605,7.648463,3.651723,12.127386,0.615958,0.738907,7.020864,4.814560,4.140594,48.840027,9.025701,23.023314,2.002428,9.648932,12.799017,6.182210,7.325042,1.989801,1.607502,10.939739,1.498191,1.289061,5.655858,1.791798,6.131489,3.998873,2.651687,11.100057,20.537914,0.715470,0.532618,0.730722,9.980165,3.420481,13.830955,10.775207,0.207473,0.023530,0.100627,13.411863,5.653312
36,3.888937,0.000000,7.290436,2.728827,4.810765,16.158249,7.461202,3.651878,12.133029,0.615796,0.738353,7.202821,4.814187,4.140066,48.828747,9.023233,23.023895,2.002468,9.497286,12.751935,6.179040,7.234186,1.956926,1.607374,11.261056,1.498526,1.288602,5.661121,1.791988,6.134342,4.096230,2.506990,11.654315,20.451000,0.605711,0.399786,0.534850,11.277885,3.453537,14.271356,10.602883,0.082077,0.103435,0.100161,13.671506,5.437921
37,4.306921,0.000000,7.337668,2.747926,4.791546,16.013266,7.401726,3.645599,12.390235,0.615873,0.719782,7.159449,4.762533,4.091898,48.173302,8.886637,22.759682,1.983709,9.528158,12.874893,6.348912,7.105141,1.943422,1.601282,11.266505,1.495242,1.288046,5.761617,1.798696,6.199098,4.070558,2.355969,12.200173,20.284727,0.408070,0.252981,0.323055,11.639597,3.443001,15.009115,10.369715,0.032266,0.200392,0.272263,13.841145,5.021880
38,4.810771,0.000000,7.420996,2.654428,4.957650,15.663257,7.283867,3.653197,12.046974,0.615127,0.741675,7.043176,4.822201,4.147826,48.934319,9.047271,23.072191,2.024354,9.513059,12.963607,6.184078,6.679835,1.926849,1.608456,11.430588,1.499494,1.288429,5.645479,1.790373,6.123066,4.210989,2.313807,11.597015,20.386492,0.088217,0.084312,0.145707,10.506433,3.568902,15.140008,9.930268,0.143800,0.312679,0.477028,13.813111,4.665847
39,5.316729,0.000000,7.414893,2.714564,5.188286,15.521228,7.344848,3.646505,12.200592,0.574496,0.721782,6.627060,4.767443,4.097143,48.226841,8.901329,22.788519,2.179615,10.120994,13.315261,6.565000,6.318424,1.977675,1.601826,11.193168,1.496270,1.288025,5.753090,1.797824,6.191315,4.350781,2.238465,10.669861,20.306692,0.241086,0.408093,0.262061,7.891064,3.417742,15.616966,9.398893,0.280523,0.452581,0.460871,13.768333,4.191833
40,5.888667,0.000000,7.380464,2.779305,5.340601,15.366089,7.249835,3.642590,12.022829,0.574219,0.711096,6.437582,4.738261,4.070639,47.871479,8.823182,22.634884,2.351149,9.342256,12.820115,6.326668,5.822653,1.904166,1.598262,11.560593,1.494145,1.287186,5.805958,1.801243,6.227056,4.490885,2.093101,9.807577,20.279821,0.428205,0.593613,0.467707,6.339255,3.654080,16.075171,8.805964,0.369086,0.544268,0.639794,13.570237,3.920483
41,6.599525,0.000000,7.360309,3.004558,5.515140,15.166925,7.038631,3.312065,12.099430,0.574008,0.682082,6.098151,4.663729,4.002203,46.922985,8.618288,22.231047,2.608506,9.011802,12.547220,6.047023,5.447286,1.883919,1.589502,11.714258,1.488048,1.285915,5.941184,1.808636,6.315913,4.572030,2.023160,9.479722,19.785387,0.419883,0.570092,0.493515,6.225816,3.435336,16.581488,8.037230,0.551288,0.731861,0.805754,13.367540,3.981193
42,7.298009,0.000000,7.308480,3.310651,5.595440,14.902080,6.634831,3.285576,12.728403,0.570984,0.608337,6.069219,4.484522,3.835527,44.570927,8.113701,21.245356,2.990244,9.299984,12.636320,6.309278,5.160858,1.864553,1.572806,11.538529,1.467838,1.273587,6.223551,1.815270,6.474746,4.606339,1.980090,10.142913,17.153719,0.422653,0.539240,0.370428,7.535293,3.620111,17.425690,7.205089,0.766614,0.987908,0.943622,13.114719,4.772461
43,7.952315,0.000000,7.319564,3.423850,5.727529,14.619260,6.483959,3.265218,13.022044,0.564705,0.557146,5.867867,4.360825,3.720605,42.877026,7.750860,20.545725,3.284048,9.049274,12.475055,6.192842,4.708633,1.822711,1.564401,11.533333,1.448635,1.256200,6.361426,1.807516,6.548620,4.556478,1.986855,10.486979,14.003686,0.640732,0.757415,0.619929,8.187912,3.516859,18.194700,6.135377,0.924080,1.149990,0.911831,12.463200,6.260751
44,8.349087,0.000000,7.163540,3.564086,5.698589,14.311960,6.224313,3.214451,14.095668,0.495852,0.454144,5.617918,4.087854,3.469214,38.821728,6.882658,18.955315,3.670162,8.562205,12.061825,6.159631,4.336456,1.707866,1.562246,11.502454,1.390159,1.194762,6.483835,1.735574,6.585505,4.394654,2.058021,11.079842,10.497899,0.972206,0.993208,0.949176,9.282463,3.222085,19.423767,5.707905,1.005160,1.327961,1.032337,11.521750,8.916331
45,8.623382,0.000000,6.962880,3.591255,5.636889,13.767308,5.885826,3.170314,14.663426,0.502114,0.400100,5.580911,3.874429,3.282603,35.144226,6.139115,17.714382,3.936188,8.134742,11.627307,6.020542,3.688971,1.587409,1.574020,11.669333,1.338424,1.131626,6.415883,1.631021,6.486089,4.276505,2.093021,11.348243,7.478837,1.074174,1.083729,1.061240,10.050647,3.791682,20.205490,5.097104,0.997133,1.425829,0.983763,9.961419,12.212626
46,8.724540,0.000000,6.568161,3.610157,5.538270,13.703946,6.059444,3.431541,15.484709,0.411242,0.370980,5.600551,3.620659,3.065989,30.112570,5.193554,16.315401,4.268965,7.752318,11.132367,6.161522,2.857493,1.388358,1.601748,11.824973,1.283393,1.051076,6.176629,1.467183,6.205828,4.202239,2.108309,11.429960,4.447423,0.971680,0.982241,1.003697,9.424971,3.164816,20.596176,4.714503,0.962563,1.625384,0.924029,8.248598,15.920249
