bone,metric,v14_ep001,v14_ep002,v14_ep003,v14_ep004,v14_delta_ep004_ep001,v15_ep001,v15_ep002,v15_ep003,v15_ep004,v15_delta_ep004_ep001,ep004_v15_minus_v14,delta_v15_minus_v14
hand_r,GeoLocalDeg,2.2143826484680176,0.6058283925056458,1.195498561859131,0.7857572793960571,-1.4286253690719604,3.71925630569458,1.1331396579742432,0.7336367845535279,0.682016921043396,-3.0372393846511843,-0.10374035835266116,-1.608614015579224
hand_r,AngVelMAE,0.07307452261447907,0.02519494332373142,0.015286975726485252,0.012901571206748485,-0.06017295140773058,0.05925369709730148,0.030937302485108377,0.01977410987019539,0.017610669136047363,-0.04164302796125412,0.004709097929298878,0.018529923446476464
hand_r,AngVelMagMAE,0.07890022248029709,0.03039146549999714,0.01661019343882799,0.015482678450644017,-0.06341754402965306,0.06661461144685746,0.030044885724782942,0.020634810626506805,0.018219339102506636,-0.04839527234435082,0.0027366606518626196,0.015022271685302242
hand_r,AngVelMagRel,0.08049103617668152,0.02758457250893116,0.013213514536619186,0.013298332877457141,-0.06719270329922437,0.07045254409313202,0.031056859716773032,0.02242266424000263,0.019112246856093407,-0.05134029723703862,0.005813913978636266,0.015852406062185756
hand_r,AngVelDirDeg,2.2143826484680176,0.6058283925056458,1.195498561859131,0.7857572793960571,-1.4286253690719604,3.71925630569458,1.1331396579742432,0.7336367845535279,0.682016921043396,-3.0372393846511843,-0.10374035835266116,-1.608614015579224
lowerarm_l,GeoDeg,3.3005050659179687,0.44107029438018797,0.6242083191871644,0.7753451824188232,-2.5251598834991453,2.404687261581421,0.5733906388282776,0.9113677740097046,1.0556252956390382,-1.3490619659423828,0.28028011322021495,1.1760979175567625
lowerarm_l,GeoLocalDeg,3.2657438278198243,0.48585727214813235,0.6277887225151062,0.8360068678855896,-2.4297369599342344,2.657494401931763,0.6558643341064453,0.9940688610076904,1.116590976715088,-1.540903425216675,0.28058410882949825,0.8888335347175595
lowerarm_l,AngVelMAE,0.11551963537931442,0.029684416204690933,0.018537276610732078,0.020756316557526588,-0.09476331882178783,0.07835090160369873,0.031847330182790755,0.0246618889272213,0.024690508469939233,-0.0536603931337595,0.0039341919124126455,0.041102925688028334
lowerarm_l,AngVelMagMAE,0.15683053731918334,0.03832712396979332,0.024413084238767625,0.030203528329730035,-0.1266270089894533,0.10190417170524597,0.04021788388490677,0.03151906579732895,0.03465589880943298,-0.06724827289581299,0.004452370479702948,0.05937873609364032
lowerarm_l,AngVelMagRel,0.1274397298693657,0.033570603281259534,0.021083443984389307,0.029454924166202545,-0.09798480570316315,0.08665048629045487,0.03478832170367241,0.027654895186424257,0.029912546277046204,-0.056737940013408664,0.00045762211084365845,0.04124686568975448
