bone,metric,v14_ep001,v14_ep002,v14_ep003,v14_ep004,v14_ep005,v14_ep006,v14_ep007,v14_ep008,v14_ep009,v14_delta_ep009_ep001,v14_delta_ep009_ep004,v14_best_ep,v14_best_val,v15_ep001,v15_ep002,v15_ep003,v15_ep004,v15_ep005,v15_ep006,v15_ep007,v15_ep008,v15_ep009,v15_delta_ep009_ep001,v15_delta_ep009_ep004,v15_best_ep,v15_best_val,ep009_v15_minus_v14
foot_r,AngVelMAE,0.06272703260183335,0.02890751473605633,0.024526572227478026,0.016592496633529664,0.014074035733938218,0.015864564664661886,0.018622072786092757,0.020778364688158035,0.021976949647068977,-0.04075008295476437,0.005384453013539313,5,0.014074035733938218,0.06973025351762771,0.039630276709795,0.019909079372882842,0.017657167837023736,0.017925598472356797,0.01872706487774849,0.018979791179299356,0.01964493952691555,0.021192921325564384,-0.048537332192063326,0.003535753488540648,4,0.017657167837023736,-0.0007840283215045929
foot_r,AngVelMagMAE,0.08078165948390961,0.03898996636271477,0.032465706765651706,0.0234165471047163,0.01922810301184654,0.022407180443406106,0.02665647864341736,0.030905285477638246,0.03240804374217987,-0.04837361574172974,0.00899149663746357,5,0.01922810301184654,0.0939741924405098,0.04595853686332703,0.02219911403954029,0.02028648853302002,0.021104789897799493,0.023590681329369544,0.024557850137352944,0.025748695060610772,0.02758610025048256,-0.06638809219002723,0.007299611717462542,4,0.02028648853302002,-0.00482194349169731
foot_r,AngVelMagRel,0.058534426242113115,0.02670304588973522,0.023244203254580497,0.017631644010543825,0.013474393077194691,0.016130979172885418,0.019813764467835428,0.021384086832404135,0.02440142519772053,-0.03413300104439258,0.006769781187176704,5,0.013474393077194691,0.06715469807386398,0.03058522529900074,0.016243457235395907,0.01680880319327116,0.014547525532543659,0.015366029739379884,0.016126213222742082,0.017159352824091912,0.017999616265296937,-0.04915508180856705,0.0011908130720257766,5,0.014547525532543659,-0.006401808932423592
foot_r,AngVelDirDeg,2.925782346725464,1.005243182182312,0.4259811222553253,0.7613206744194031,0.2802636682987213,0.529329800605774,0.3217006802558899,0.4638119637966156,0.38195690512657166,-2.543825441598892,-0.37936376929283144,5,0.2802636682987213,3.1585168838500977,0.6819906830787659,0.560122287273407,0.40755552649497984,0.6309620022773743,0.3845925390720367,0.5496943891048431,0.5272331833839417,0.5793724298477173,-2.5791444540023805,0.17181690335273747,6,0.3845925390720367,0.19741552472114565
hand_l,GeoDeg,1.0780779600143433,0.6552206397056579,1.1426560163497925,0.5653714299201965,0.7612465858459473,0.25783835649490355,0.3534869372844696,0.20667091012001038,0.29505434036254885,-0.7830236196517945,-0.27031708955764766,8,0.20667091012001038,1.448034644126892,0.5322078466415405,0.6212632656097412,0.6372463941574097,0.4980105459690094,0.3038050472736359,0.27473714351654055,0.2936852753162384,0.28302559852600095,-1.165009045600891,-0.35422079563140874,7,0.27473714351654055,-0.012028741836547896
hand_l,GeoLocalDeg,0.9629528641700744,0.7156942009925842,1.149861216545105,0.6089191913604737,0.6898472666740417,0.35433329939842223,0.35752970576286314,0.30374903678894044,0.307012802362442,-0.6559400618076324,-0.3019063889980317,8,0.30374903678894044,1.7967425346374513,0.6505390286445618,0.7150418758392334,0.7373457193374634,0.6322226643562316,0.40437933802604675,0.3833717226982117,0.4262431263923645,0.36820838451385496,-1.4285341501235962,-0.36913733482360844,9,0.36820838451385496,0.061195582151412964
hand_l,AngVelMAE,0.06675086468458176,0.019330261647701262,0.011766961589455605,0.013271007686853409,0.013543050736188889,0.01363139133900404,0.013158966414630413,0.013265581429004669,0.014003529585897923,-0.05274733509868384,0.000732521899044514,3,0.011766961589455605,0.050253181159496306,0.01997106783092022,0.013237815164029599,0.014328616857528686,0.017692670226097107,0.018602439388632774,0.01738644614815712,0.014567370526492596,0.014015934243798257,-0.036237246915698046,-0.0003126826137304292,3,0.013237815164029599,1.2404657900333751e-05
hand_l,AngVelMagMAE,0.11540072858333587,0.03132155984640121,0.01947278268635273,0.024210430681705475,0.025126851350069045,0.0246182955801487,0.023397842049598695,0.02485609017312527,0.02799423784017563,-0.08740649074316025,0.003783807158470154,3,0.01947278268635273,0.08673877120018006,0.033440633490681645,0.02282153405249119,0.027501623332500457,0.03475761041045189,0.036436665803194046,0.03357602618634701,0.026207179576158524,0.024256400391459466,-0.06248237080872059,-0.0032452229410409907,3,0.02282153405249119,-0.0037378374487161622
hand_l,AngVelMagRel,0.1070009008049965,0.027128225564956664,0.016636795178055764,0.02056281119585037,0.020461594685912132,0.019723141565918922,0.01923057548701763,0.01987963356077671,0.021480302140116692,-0.08552059866487981,0.0009174909442663214,3,0.016636795178055764,0.07511643618345261,0.0274723581969738,0.020903952047228815,0.024559280648827553,0.030929362401366234,0.034165311604738235,0.031674469634890554,0.024052025377750398,0.022447158023715018,-0.05266927815973759,-0.0021121226251125357,3,0.020903952047228815,0.0009668558835983256
hand_l,AngVelDirDeg,0.9629528641700744,0.7156942009925842,1.149861216545105,0.6089191913604737,0.6898472666740417,0.35433329939842223,0.35752970576286314,0.30374903678894044,0.307012802362442,-0.6559400618076324,-0.3019063889980317,8,0.30374903678894044,1.7967425346374513,0.6505390286445618,0.7150418758392334,0.7373457193374634,0.6322226643562316,0.40437933802604675,0.3833717226982117,0.4262431263923645,0.36820838451385496,-1.4285341501235962,-0.36913733482360844,9,0.36820838451385496,0.061195582151412964
