sic,pelvis,Bip001,spine_01,spine_02,clavicle_l,upperarm_l,RUpArmTwist_l_01,RUpArmTwist_l_02,lowerarm_l,L_ForeTwist_01,L_ForeTwist_02,hand_l,index_01_l,middle_01_l,pinky_01_l,ring_01_l,thumb_01_l,clavicle_r,upperarm_r,RUpArmTwist_r_01,RUpArmTwist_r_02,lowerarm_r,R_ForeTwist_01,R_ForeTwist_02,hand_r,index_01_r,middle_01_r,pinky_01_r,ring_01_r,thumb_01_r,neck_01,head,thigh_l,calf_l,LCalfTwist_01,LCalfTwist_02,LCalfTwist_03,foot_l,ball_l,thigh_r,calf_r,RCalfTwist_01,RCalfTwist_02,RCalfTwist_03,foot_r,ball_r
59,0.383450,0.223943,0.236838,0.479843,0.195752,1.375708,0.900850,0.623164,0.960206,0.104228,0.137744,0.437396,0.221887,0.331192,0.272339,0.432694,0.423177,0.261290,0.589793,0.440079,0.151489,0.378788,0.225316,0.159583,0.408136,0.381949,0.320581,0.263985,0.418996,0.373921,0.461993,0.376403,0.987712,0.813537,0.201146,0.178725,0.196170,0.628410,0.960899,1.218020,0.218981,0.156729,0.171132,0.169443,1.095368,0.428852
60,0.190424,0.335685,0.192513,0.218324,0.218358,0.908683,0.324171,0.218689,0.669643,0.311270,0.165711,0.521456,0.174672,0.465802,0.397778,0.497773,0.319768,0.252488,0.586295,0.392030,0.226346,0.347695,0.193958,0.120742,0.513335,0.254904,0.373085,0.335353,0.438612,0.330335,0.346606,0.352328,0.713873,0.360328,0.256579,0.259544,0.191215,0.438226,0.360835,0.562043,0.350625,0.248077,0.187580,0.130031,1.229565,0.450631
61,0.271915,0.264688,0.229382,0.296212,0.246929,0.902034,0.509633,0.351492,0.477619,0.135762,0.146005,0.821988,0.209333,0.328098,0.368012,0.462576,0.419589,0.222341,0.916435,0.171436,0.323048,0.407000,0.259606,0.160922,0.838640,0.425165,0.369030,0.253282,0.454057,0.422763,0.439855,0.430083,1.131897,0.733508,0.173041,0.135685,0.268542,0.599984,0.689064,0.934055,0.237035,0.226639,0.181365,0.209073,1.018035,0.460239
62,0.377867,0.263150,0.192597,0.231662,0.248382,1.374275,0.318216,0.311576,1.427046,0.125018,0.195056,1.071888,0.198450,0.342079,0.307827,0.376831,0.442985,0.191046,0.626661,0.269529,0.318699,0.553002,0.229472,0.134085,0.443843,0.333927,0.373365,0.274111,0.408632,0.377658,0.354442,0.359606,1.338391,0.824462,0.164964,0.163955,0.160678,0.677163,1.120848,1.064938,0.196608,0.145688,0.169628,0.191483,0.840435,0.814070
63,0.269720,0.250076,0.173769,0.264513,0.226680,0.952339,0.301989,0.360278,0.849755,0.153103,0.165303,0.906176,0.209337,0.309822,0.309702,0.390122,0.438565,0.199009,0.587623,0.218725,0.225849,0.325001,0.250673,0.146583,0.426472,0.357550,0.403927,0.288926,0.440799,0.442179,0.337426,0.323898,0.805830,0.255186,0.169999,0.164699,0.192164,0.693681,0.862368,0.585987,0.359713,0.127119,0.209568,0.257092,0.790887,0.686874
64,0.217288,0.237467,0.220682,0.312811,0.207226,1.073699,0.312015,0.317907,1.539544,0.165412,0.172691,0.937966,0.217439,0.294028,0.328505,0.380490,0.460527,0.299544,0.678492,0.198406,0.354435,0.423000,0.264716,0.140211,0.511404,0.344942,0.373971,0.252351,0.463851,0.472663,0.383188,0.263483,1.234480,0.732362,0.195467,0.145034,0.211757,0.490374,0.584002,0.568788,2.120260,0.178466,0.230379,0.348704,0.757597,0.321884
65,0.166572,0.215893,0.223831,0.300517,0.271189,1.558507,0.858789,0.393284,0.963479,0.187941,0.193126,0.354993,0.239636,0.285953,0.294256,0.405885,0.458779,0.230257,0.827679,0.599511,0.187413,0.339160,0.266163,0.145518,0.569268,0.332182,0.367740,0.277399,0.456533,0.463774,0.407084,0.320233,0.979311,0.657840,0.217566,0.136142,0.196051,0.462499,0.244942,0.902808,1.063645,0.142298,0.260166,0.233539,0.908351,0.478229
66,0.211783,0.222689,0.263678,0.340532,0.251606,1.211596,0.600792,0.363339,0.534711,0.162437,0.169856,0.211698,0.273027,0.319745,0.294483,0.366871,0.423517,0.226859,0.585605,0.439245,0.301682,0.249495,0.232241,0.122387,0.487722,0.259268,0.352124,0.275921,0.453477,0.442266,0.386329,0.289500,0.970049,0.738695,0.184517,0.160436,0.175346,0.485619,0.568327,0.496305,0.322854,0.127346,0.278463,0.184604,0.788213,0.459792
67,0.328973,0.214364,0.319583,0.387715,0.220093,0.882962,0.421882,0.388491,1.044106,0.167833,0.179956,0.309776,0.275915,0.303367,0.300089,0.344823,0.415134,0.278266,0.529301,0.484116,0.196683,0.307365,0.206414,0.115461,0.500616,0.273636,0.356096,0.260433,0.480088,0.442635,0.444354,0.263163,1.411898,1.214490,0.187528,0.176949,0.179607,0.680651,0.391153,0.599901,1.111326,0.122086,0.272297,0.137471,0.574543,0.218468
68,0.444268,0.230594,0.395778,0.318531,0.206409,0.799463,0.368516,0.281592,0.565186,0.165717,0.185130,0.309317,0.260053,0.322643,0.323172,0.338472,0.388623,0.317057,0.609240,0.542849,0.175838,0.597996,0.207366,0.135865,0.562292,0.284199,0.337339,0.245451,0.464085,0.432708,0.449733,0.257414,0.934122,0.749931,0.191747,0.205490,0.196185,0.719803,0.399356,0.938064,0.827429,0.136284,0.285517,0.121540,1.180460,0.280910
